16383 num_stratum
1 num_targets
LAI
basin_ID hill_ID zone_ID patch_ID stratum_ID LAI
1 409 15946 15946 15946 0
1 409 15947 15947 15947 0
1 409 15948 15948 15948 0
1 409 15949 15949 15949 0
1 409 15950 15950 15950 0
1 409 15951 15951 15951 0
1 409 15952 15952 15952 0
1 409 15953 15953 15953 1.607027
1 409 15954 15954 15954 1.417196
1 409 15955 15955 15955 2.2253735
1 409 15956 15956 15956 2.672605
1 409 15957 15957 15957 1.897824
1 409 15969 15969 15969 0
1 409 15970 15970 15970 0
1 409 15971 15971 15971 0
1 409 15972 15972 15972 0
1 409 15973 15973 15973 0
1 409 15974 15974 15974 0
1 409 15975 15975 15975 1.804248
1 409 15976 15976 15976 0
1 409 15977 15977 15977 2.527385
1 409 15978 15978 15978 1.490478
1 409 15979 15979 15979 1.118012
1 409 15980 15980 15980 1.783146
1 409 15981 15981 15981 1.830652
1 409 15982 15982 15982 2.079801
1 409 15983 15983 15983 2.420297
1 409 15984 15984 15984 1.567953
1 409 15992 15992 15992 0
1 409 15993 15993 15993 0
1 409 15994 15994 15994 0
1 409 15995 15995 15995 0.9608077
1 409 15996 15996 15996 2.059507
1 409 15997 15997 15997 1.951495
1 409 15998 15998 15998 3.236439
1 409 15999 15999 15999 1.398282
1 409 16000 16000 16000 1.664935
1 409 16001 16001 16001 1.996375
1 409 16002 16002 16002 1.964063
1 409 16003 16003 16003 1.622484
1 409 16004 16004 16004 1.974331
1 409 16005 16005 16005 2.350179
1 409 16013 16013 16013 1.081267
1 409 16014 16014 16014 0
1 409 16015 16015 16015 1.337777
1 409 16016 16016 16016 1.956448
1 409 16017 16017 16017 2.058396
1 409 16018 16018 16018 0.8778325
1 409 16019 16019 16019 1.39022
1 409 16020 16020 16020 1.505263
1 409 16021 16021 16021 2.550093
1 409 16022 16022 16022 1.738855
1 409 16023 16023 16023 1.974331
1 409 16024 16024 16024 1.490478
1 409 16025 16025 16025 1.490478
1 409 16026 16026 16026 2.430422
1 409 16027 16027 16027 2.169891
1 409 16028 16028 16028 2.049176
1 409 16029 16029 16029 2.335321
1 409 16037 16037 16037 2.400439
1 409 16038 16038 16038 1.479504
1 409 16039 16039 16039 1.225656
1 409 16040 16040 16040 0.82473665
1 409 16041 16041 16041 1.502205
1 409 16042 16042 16042 1.639023
1 409 16043 16043 16043 2.055106
1 409 16044 16044 16044 1.529415
1 409 16045 16045 16045 1.426041
1 409 16046 16046 16046 2.004802
1 409 16047 16047 16047 1.984487
1 409 16048 16048 16048 1.609076
1 409 16049 16049 16049 2.467476
1 409 16050 16050 16050 2.17211
1 409 16051 16051 16051 1.877826
1 409 16057 16057 16057 1.731278
1 409 16058 16058 16058 0
1 409 16059 16059 16059 2.159099
1 409 16060 16060 16060 0.9119932
1 409 16061 16061 16061 1.343422
1 409 16062 16062 16062 1.655683
1 409 16063 16063 16063 2.076272
1 409 16064 16064 16064 2.520328
1 409 16065 16065 16065 1.70928
1 409 16066 16066 16066 1.806564
1 409 16067 16067 16067 0
1 409 16068 16068 16068 0
1 409 16069 16069 16069 1.502205
1 409 16070 16070 16070 1.73453
1 409 16071 16071 16071 1.901115
